Geneid	SRR11047173	SRR11047174	SRR11047175	SRR11047176
AT3G30220	0.000000	0.000000	0.000000	0.000000
AT3G30222	0.000000	0.000000	0.000000	0.000000
AT3G30230	0.000000	0.000000	0.000000	0.000000
AT3G30235	0.000000	0.000000	0.000000	0.000000
AT3G30247	0.000000	0.000000	0.000000	0.000000
AT3G30260	0.000000	0.000000	0.000000	0.000000
AT3G30280	0.000000	0.000000	0.000000	0.000000
AT3G30290	0.000000	0.000000	0.000000	0.000000
AT3G30300	14.462369	15.089088	17.248144	16.488558
AT3G30305	0.394509	0.845396	0.959615	0.629984
AT3G30320	0.000000	0.000000	0.000000	0.000000
AT3G30340	0.000000	0.000000	3.077210	0.000000
AT3G30345	0.000000	0.000000	0.000000	0.000000
AT3G30350	0.000000	0.000000	0.161241	0.000000
AT3G30370	0.000000	0.000000	0.000000	0.000000
AT3G30380	4.984486	5.269232	5.870784	4.712262
AT3G30383	0.000000	0.000000	0.000000	0.000000
AT3G30385	0.000000	0.000000	0.000000	0.000000
AT3G30387	0.000000	0.000000	0.000000	0.000000
AT3G30390	77.735497	63.083382	56.422504	61.680149
AT3G30430	0.000000	0.000000	0.000000	0.000000
AT3G30460	0.532207	1.340049	0.724538	1.230943
AT3G30520	0.000000	0.000000	0.000000	0.000000
AT3G30525	0.000000	0.000000	0.000000	0.000000
AT3G30530	0.000000	0.239188	1.146415	0.000000
AT3G30540	0.000000	0.000000	0.000000	0.000000
AT3G30580	0.000000	0.000000	0.000000	0.000000
AT3G30705	0.000000	0.000000	0.000000	0.000000
AT3G30720	17.857389	12.755033	34.811245	37.630478
AT3G30725	0.000000	0.000000	0.357016	0.000000
AT3G30730	0.000000	0.261675	0.308845	0.000000
AT3G30739	0.000000	0.000000	0.000000	0.000000
AT3G30770	0.000000	0.000000	0.000000	0.000000
AT3G30775	6.161502	23.402977	17.250235	10.934645
AT3G30805	0.000000	0.000000	0.000000	0.000000
AT3G30820	0.000000	0.000000	0.000000	0.000000
AT3G30823	0.000000	0.000000	0.000000	0.000000
AT3G30840	0.000000	0.000000	0.000000	0.000000
AT3G30841	2.865755	3.409221	3.844407	2.427214
AT3G30842	0.000000	0.000000	0.000000	0.000000
AT3G30845	0.000000	0.000000	0.000000	0.000000
AT3G31350	0.000000	0.000000	0.000000	0.000000
AT3G31402	0.000000	0.000000	0.000000	0.000000
AT3G31430	0.000000	0.000000	0.000000	0.000000
AT3G31550	0.000000	0.000000	0.000000	0.000000
AT3G31560	0.000000	0.000000	0.000000	0.000000
AT3G31900	0.000000	0.000000	0.000000	0.000000
AT3G31910	0.000000	0.000000	0.000000	0.000000
AT3G31925	0.000000	0.000000	0.000000	0.000000
AT3G31950	0.000000	0.000000	0.000000	0.000000
AT3G32030	0.000000	0.000000	0.000000	0.000000
AT3G32040	0.000000	0.000000	0.000000	0.000000
AT3G32047	0.000000	0.000000	0.000000	0.000000
AT3G32050	0.000000	0.000000	0.000000	0.000000
AT3G32090	0.000000	0.000000	0.000000	0.000000
AT3G32130	0.000000	0.000000	0.000000	0.000000
AT3G32150	0.000000	0.000000	0.000000	0.000000
AT3G32160	0.000000	0.000000	0.000000	0.000000
AT3G32180	0.000000	0.000000	0.000000	0.000000
AT3G32190	0.000000	0.000000	0.000000	0.000000
AT3G32200	0.000000	0.000000	0.000000	0.000000
AT3G32260	0.000000	0.000000	0.000000	0.000000
AT3G32280	0.000000	0.000000	0.000000	0.000000
AT3G32330	0.000000	0.000000	0.000000	0.000000
AT3G32380	0.000000	0.000000	0.000000	0.000000
AT3G32400	0.000000	0.000000	0.000000	0.000000
AT3G32410	0.000000	0.000000	0.000000	0.000000
AT3G32420	0.000000	0.000000	0.000000	0.000000
AT3G32896	0.000000	0.000000	0.000000	0.000000
AT3G32904	0.000000	0.000000	0.000000	0.000000
AT3G32920	0.000000	0.000000	0.000000	0.000000
AT3G32930	72.669540	74.469734	72.980080	73.537102
AT3G32940	10.845288	10.707966	11.040755	11.194480
AT3G32960	0.000000	0.000000	0.000000	0.000000
AT3G32980	5.765171	2.372858	8.361589	4.589491
AT3G33187	0.000000	0.000000	0.000000	0.000000
AT3G33293	0.000000	0.000000	0.000000	0.000000
AT3G33393	0.000000	0.000000	0.000000	0.000000
AT3G33494	0.000000	0.000000	0.000000	0.000000
AT3G33520	15.130313	15.019319	15.648530	14.785239
AT3G33528	0.000000	0.443710	0.191410	0.000000
AT3G33530	11.833752	10.446404	12.659680	11.185697
AT3G36659	0.000000	0.000000	0.000000	0.000000
AT3G41761	0.000000	0.000000	0.000000	0.000000
AT3G41762	0.826195	0.471546	0.427833	0.432413
AT3G41768	329.617645	223.357635	290.207092	270.759888
AT3G41979	3.885764	5.779176	4.899419	4.039433
AT3G42050	86.192451	81.965080	74.972649	76.361176
AT3G42060	0.000000	0.000000	0.000000	0.000000
AT3G42075	0.000000	0.000000	0.000000	0.000000
AT3G42130	0.000000	0.000000	0.000000	0.000000
AT3G42140	0.000000	0.000000	0.000000	0.000000
AT3G42148	0.000000	0.000000	0.000000	0.000000
AT3G42150	16.571747	18.551214	20.261065	19.125761
AT3G42153	0.000000	0.000000	0.000000	0.000000
AT3G42155	0.000000	0.000000	0.000000	0.000000
AT3G42160	0.000000	0.000000	0.000000	0.000000
AT3G42170	10.782767	12.485991	17.344238	12.260742
AT3G42180	0.000000	0.000000	0.000000	0.000000
AT3G42310	0.000000	0.000000	0.000000	0.000000
AT3G42390	0.000000	0.000000	0.000000	0.000000
AT3G42473	0.000000	0.000000	0.000000	0.000000
AT3G42550	0.000000	0.000000	0.000000	0.000000
AT3G42560	0.000000	0.000000	0.000000	0.000000
AT3G42565	0.000000	0.000000	0.000000	0.000000
AT3G42570	0.354031	0.498269	0.000000	0.000000
AT3G42628	0.189154	0.000000	0.000000	0.000000
AT3G42630	8.731588	8.611030	8.756574	9.359082
AT3G42640	3.635844	4.085937	4.618003	3.882907
AT3G42660	2.478555	3.837770	5.998548	3.566760
AT3G42670	0.595680	0.847326	1.967261	1.204167
AT3G42723	0.000000	0.000000	0.000000	0.000000
AT3G42725	0.676282	1.306863	2.008482	0.907354
AT3G42770	0.000000	0.000000	0.000000	0.000000
AT3G42780	0.000000	0.000000	0.000000	0.000000
AT3G42786	0.000000	0.000000	0.000000	0.000000
AT3G42790	37.682529	38.464958	44.833733	38.278488
AT3G42800	4.800446	1.482994	1.131374	2.599729
AT3G42830	0.000000	0.000000	0.000000	0.000000
AT3G42850	0.000000	0.000000	0.000000	0.000000
AT3G42860	1.357365	1.843319	2.319134	1.200513
AT3G42870	0.000000	0.000000	0.000000	0.000000
AT3G42880	0.000000	0.000000	0.000000	0.000000
AT3G42940	0.000000	0.000000	0.000000	0.000000
AT3G42950	4.860368	5.690021	5.466977	4.724097
AT3G42960	0.000000	0.000000	0.000000	0.000000
AT3G42990	0.000000	0.000000	0.000000	0.000000
AT3G42995	0.000000	0.000000	0.000000	0.000000
AT3G43083	0.000000	0.000000	0.000000	0.000000
AT3G43110	0.000000	0.447382	0.000000	0.000000
AT3G43120	0.000000	0.000000	0.000000	0.000000
AT3G43148	0.000000	0.000000	0.000000	0.000000
AT3G43150	0.000000	0.000000	0.000000	0.000000
AT3G43153	0.000000	0.000000	0.000000	0.000000
AT3G43160	0.000000	0.000000	0.000000	0.000000
AT3G43170	0.000000	0.000000	0.000000	0.000000
AT3G43180	0.000000	0.000000	0.000000	0.000000
AT3G43190	0.000000	0.000000	0.444820	0.000000
AT3G43210	1.914298	1.882064	2.253160	1.520807
AT3G43220	13.072160	12.011810	11.192560	12.488804
AT3G43230	13.358607	12.823996	10.544523	11.721186
AT3G43240	7.284719	7.797417	8.898525	7.140204
AT3G43250	0.000000	0.232034	0.000000	0.000000
AT3G43260	0.000000	0.000000	0.000000	0.000000
