task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
15	2b/35555f	440	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR11047175)	CACHED	0	2026-05-18 14:32:31.326	8m 37s	8m 36s	66.5%	34.7 MB	344.8 MB	8.9 GB	5.5 GB
13	1b/6f8e84	340	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR11047173)	CACHED	0	2026-05-18 14:24:42.053	7m 49s	7m 48s	66.2%	34.3 MB	287 MB	8 GB	5 GB
19	d4/e969ed	1164	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR11047174)	CACHED	0	2026-05-18 16:24:38.060	13m 50s	13m 49s	24.0%	76 MB	80 MB	7.9 GB	1.7 KB
20	33/ed1af9	1117	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR11047176)	CACHED	0	2026-05-18 16:11:40.649	12m 57s	12m 56s	25.2%	76.2 MB	80 MB	7.9 GB	1.7 KB
21	1a/835d65	1069	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR11047175)	CACHED	0	2026-05-18 15:59:05.987	12m 35s	12m 33s	25.9%	76 MB	80 MB	8.2 GB	1.7 KB
22	52/e627ca	883	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR11047173)	CACHED	0	2026-05-18 15:17:38.794	6m 28s	6m 27s	28.8%	75.8 MB	80 MB	7.4 GB	1.7 KB
23	5e/0cb19f	171	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (SRR11047174)	COMPLETED	0	2026-05-19 04:31:14.297	7m 50s	7m 49s	442.6%	277.5 MB	634.6 MB	54.9 GB	53.1 GB
24	31/775373	224	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (SRR11047176)	COMPLETED	0	2026-05-19 04:39:04.211	7m 54s	7m 53s	442.5%	276 MB	634.5 MB	54.9 GB	53.1 GB
25	5f/f3abd6	278	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (SRR11047175)	COMPLETED	0	2026-05-19 04:46:57.745	8m 25s	8m 24s	441.0%	276.1 MB	634.6 MB	57.2 GB	55.4 GB
26	cd/f6805e	332	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:HISAT2_ALIGN (SRR11047173)	COMPLETED	0	2026-05-19 04:55:22.464	7m 38s	7m 37s	439.9%	275.6 MB	634.6 MB	51.3 GB	49.6 GB
27	3a/ad3978	383	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR11047174)	COMPLETED	0	2026-05-19 05:03:00.258	2m 41s	2m 41s	212.4%	3.4 GB	4 GB	9.2 GB	7 GB
